training_step,reward
455.79896462467644,-269.1688101298856
1395.7911741528762,-231.6115362500468
2361.0893997445723,-153.2421477917739
3310.9180327868853,-112.92826416833846
4176.211428571429,-108.93934638057436
5158.992559523809,-112.46547023000728
6102.515850144092,-112.82970212795033
7006.657853810264,-101.9953057911612
7982.906882591094,-87.10768182934657
8903.110655737704,-89.35622665041782
9829.617910447761,-82.18696677996152
10792.47619047619,-84.39468662242871
11720.972099853157,-83.10200461837164
12662.192010309278,-82.04723679562359
13573.179271708683,-74.48567227109828
14533.803598200899,-69.86930637340853
15480.344418052257,-73.19561289169442
16398.516609392896,-66.0409899809209
17327.62757731959,-63.40221146641289
18279.83651226158,-67.69036457182114
19235.21224489796,-77.9330118709681
20163.37516869096,-73.65108282797732
21094.290681502087,-70.42851811264005
22029.67435549525,-64.25409096600728
22959.072033898305,-54.93037071498901
23921.368283093052,-56.546853156524755
24851.729986431477,-50.757299612946
25777.483516483517,-50.55014053601158
26715.77398989899,-64.66852233086176
27658.87852760736,-58.724544705249414
28596.912075029308,-66.93223102599086
29550.703583061888,-35.33076579213531
