training_step,reward
452.63047138047136,-267.6707273481997
1380.5612489991993,-159.54674216083998
2351.874840357599,-128.02839038238443
3306.2592190889372,-98.26154317403788
4183.848948374761,-82.91680877377951
5158.368421052632,-85.28618493532402
6106.928366762178,-71.79948651350843
7004.862068965517,-62.17315097624979
7992.63671875,-67.42804388867808
8907.039563437926,-61.30108427948548
9845.067647058824,-54.67839770095752
10798.59606656581,-27.194511533369635
11720.362716763006,-40.932146226911875
12656.113402061856,-22.437254193440538
13572.75352112676,-16.241633552045258
14538.261834319526,-18.687303520722544
15479.500594530322,-0.6987693821490875
16397.97494305239,-11.592195707294827
17340.300395256916,-16.280578438354574
18283.78463648834,-13.387643510636725
19211.702364394994,-0.7341395308145727
20132.75167785235,-5.192064636785712
21081.02341597796,-11.068661113762227
22038.604278074865,0.5414963629953364
22981.426160337553,9.597705168044392
23907.65874125874,19.22157517166196
24845.29854689564,16.1581277023494
25781.29606879607,29.462692951925412
26714.68961201502,41.034036006400825
27659.639686684073,34.284004775034
28588.92523364486,19.197368081119436
29539.125941872982,15.94431295968488
