training_step,reward
0.71875,
23.9375,
35.5,
68.875,
72.625,
77.78125,
81.375,
92.71875,13.98828125
99.09375,14.2578125
127.125,13.92578125
133.0,13.78515625
146.90625,13.875
173.5,14.1796875
188.125,14.36328125
194.40625,14.65234375
199.28125,15.0078125
212.84375,16.25390625
236.21875,17.25390625
260.5,18.67578125
280.6875,20.07421875
290.0625,22.26953125
297.6875,24.46484375
312.5625,27.12109375
318.9375,29.734375
334.96875,30.6640625
345.59375,31.15625
350.03125,31.640625
353.40625,32.17578125
362.90625,31.51953125
378.96875,31.19921875
393.25,30.41015625
397.1875,29.58203125
407.59375,30.203125
427.3125,31.4921875
440.28125,33.21875
450.1875,35.35546875
459.8125,37.80859375
479.625,40.08984375
491.625,42.0
501.6875,43.8359375
513.53125,45.4765625
520.96875,47.609375
530.6875,49.8203125
559.5625,51.0390625
570.875,52.21875
575.25,51.875
584.65625,52.06640625
593.4375,52.18359375
598.65625,54.37890625
610.28125,53.703125
615.90625,52.6484375
628.625,53.89453125
639.15625,55.49609375
656.75,58.03515625
676.59375,61.36328125
704.625,62.2734375
716.34375,60.80859375
734.90625,61.29296875
748.875,61.40625
809.9375,60.3671875
819.71875,58.71484375
828.09375,57.13671875
839.46875,54.515625
854.90625,55.59375
859.8125,56.3203125
864.03125,57.39453125
870.71875,58.2890625
880.9375,58.02734375
897.75,57.16796875
907.25,57.51171875
914.03125,57.9453125
931.40625,57.12109375
962.96875,56.140625
969.25,55.25
990.75,54.640625
1001.59375,54.37890625
1008.03125,55.1796875
1014.875,54.68359375
1028.875,54.98046875
1039.90625,55.23046875
1046.1875,55.41796875
1053.625,55.796875
1066.21875,55.89453125
1077.21875,56.78515625
1095.875,56.84765625
1107.46875,57.54296875
1120.21875,57.8515625
1128.53125,57.99609375
1138.65625,58.98828125
1142.6875,59.80859375
1145.25,60.640625
1148.9375,60.84375
1152.375,61.65234375
1156.40625,62.30078125
1164.5,62.28125
1167.375,62.44921875
1183.5,63.55078125
1196.25,64.23046875
1201.75,65.140625
1212.46875,66.3046875
1222.5,68.390625
1227.09375,70.7578125
1245.875,75.18359375
1258.59375,80.08984375
1262.84375,83.58984375
1267.46875,87.4296875
1273.0,90.11328125
1275.9375,92.5390625
1281.21875,93.72265625
1297.15625,95.34375
1302.875,95.5390625
1310.15625,95.87109375
1315.84375,95.86328125
1322.0,95.3671875
1329.3125,96.59375
1334.78125,97.5703125
1342.40625,97.875
1352.15625,97.484375
1370.28125,95.984375
1378.59375,94.1640625
1386.34375,93.8203125
1400.875,91.8359375
1408.78125,89.24609375
1415.21875,87.30859375
1418.125,86.7265625
1421.03125,86.421875
1432.65625,86.90625
1442.15625,86.78515625
1447.09375,86.33203125
1450.21875,87.73046875
1457.46875,89.23828125
1465.34375,88.46875
1473.5,87.10546875
1476.6875,85.44140625
1483.96875,83.875
1499.78125,82.1640625
1508.28125,79.28515625
1511.59375,76.890625
1514.8125,74.55078125
1518.5,73.87109375
1521.1875,73.51953125
1531.03125,72.27734375
1538.71875,71.63671875
1542.09375,71.484375
1546.0625,71.98046875
1550.53125,72.11328125
1556.6875,72.19140625
1559.6875,72.30078125
1563.40625,72.3046875
1566.21875,73.12890625
1572.875,73.953125
1584.375,75.7578125
1593.5625,77.34765625
1596.875,78.66015625
1603.21875,79.6484375
1618.5625,80.98828125
1639.84375,81.11328125
1648.6875,81.8046875
1656.09375,81.73828125
1670.59375,80.86328125
1700.1875,82.1796875
1707.375,83.6015625
1716.5625,84.4140625
1721.625,85.31640625
1729.0,86.81640625
1735.40625,87.94921875
1748.03125,88.75
1758.46875,90.75
1766.96875,89.96875
1777.90625,90.1875
1784.34375,91.39453125
1792.46875,93.73828125
1798.34375,96.49609375
1805.4375,99.04296875
1812.84375,101.15234375
1825.15625,103.19140625
1830.1875,106.25390625
1837.375,108.1796875
1848.09375,108.92578125
1856.8125,111.12890625
1871.71875,111.13671875
1880.0,110.890625
1886.1875,111.46875
1890.90625,110.8515625
1904.34375,110.41796875
1908.78125,110.328125
1915.78125,111.15625
1920.25,110.23046875
1923.6875,112.17578125
1929.375,113.80078125
1932.59375,114.26171875
1937.4375,115.48046875
1942.0625,115.1484375
1955.125,115.08203125
1963.5625,114.8984375
1969.1875,113.765625
1974.28125,111.359375
1979.40625,109.67578125
1992.5,108.90234375
2000.25,108.56640625
2014.5,109.1875
2020.09375,109.50390625
2029.0,110.234375
2039.8125,111.48828125
2055.0,114.25
2075.5,118.98046875
2087.34375,126.15625
2094.5,132.6171875
2099.53125,136.93359375
2107.5625,140.96484375
2114.53125,143.23046875
2120.25,143.07421875
2127.71875,141.8671875
2132.375,138.4375
2137.75,133.0390625
2150.9375,126.9296875
2162.71875,123.3046875
2172.3125,121.1953125
2177.84375,120.359375
2191.875,117.17578125
2203.75,115.5703125
2222.4375,114.828125
2235.6875,114.15625
2263.6875,117.14453125
2269.5,120.42578125
2277.46875,121.68359375
2281.5625,122.72265625
2288.5625,128.3515625
2312.3125,132.41015625
2324.4375,135.890625
2339.0625,137.48828125
2344.1875,135.69921875
2354.90625,133.2734375
2362.84375,131.66015625
2372.28125,130.07421875
2382.78125,128.17578125
2416.59375,129.90625
2423.28125,131.19140625
2433.03125,132.87890625
2446.65625,134.9140625
2455.375,137.3125
