training_step,reward
11.68,
30.4,
84.6,
92.12,
110.04,
149.68,
186.08,
212.68,
317.8,
377.48,
419.0,
480.56,
505.2,
563.32,
617.76,
653.84,
722.6,
752.44,
781.92,
832.44,
853.52,
885.68,
921.88,
976.6,
1018.28,
1094.68,
1139.56,
1197.56,
1237.56,
1315.2,
1336.16,
1364.32,-250.0217227137834
1399.96,-246.7392945320159
1428.56,-245.41865903444585
1472.4,-242.52913969315586
1508.72,-239.14998090930283
1553.12,-234.70414900638164
1592.04,-229.43826255597173
1628.12,-225.80157952196896
1666.0,-221.9084580657631
1703.04,-216.3515412978083
1757.8,-209.73767885925253
1802.2,-203.69094681026417
1834.84,-199.5480385200866
1859.24,-195.9166520701536
1889.52,-191.8674940173515
1903.04,-187.51634420799098
1943.8,-182.34450965557255
1959.64,-178.26173606297007
1988.44,-175.2358564076387
2021.84,-172.85249819314114
2066.4,-170.32019290259115
2088.0,-168.708165924009
2109.28,-165.0838498628699
2131.12,-161.50577528765433
2174.72,-157.6106343515777
2200.72,-156.14159838756552
2255.84,-153.77353659471504
2283.44,-151.71033226249745
2307.4,-148.75017924902966
2333.8,-147.5610238939338
2358.2,-146.0792787845247
2375.6,-143.94271007029343
2391.36,-141.50178661851214
2407.68,-138.7969117628597
2421.68,-135.81677990807225
2432.84,-133.87089396452535
2449.52,-132.53087233034898
2464.6,-131.67199053017427
2476.04,-131.09006579546264
2504.68,-131.52212016625333
2519.72,-131.32585132224492
2559.84,-129.40112658111383
2579.0,-128.12459116313613
2602.24,-127.1275089379354
2633.08,-126.26618989239452
2670.08,-124.89582303623675
2694.44,-124.49905907819985
2734.52,-123.01723204373388
2767.52,-122.37967545152648
2797.48,-121.21386551647451
2827.0,-120.4508945718315
2853.0,-119.87215961261656
2876.08,-120.08019046395088
2896.72,-119.61401663093831
2922.32,-118.6974151259568
2940.92,-118.70968506141568
2959.16,-117.80228120430374
2987.32,-116.39437826081182
3006.2,-115.36090670241977
3031.08,-114.52726781143811
3064.2,-114.29029162391093
3088.88,-113.14645312800076
3118.88,-112.47077303289441
3143.36,-111.79745179756551
3154.92,-111.13149726136595
3176.0,-111.22911418220966
3213.76,-112.01867253064182
3233.6,-112.56651657558052
3260.08,-112.2506032894459
3292.8,-112.06740081145433
3324.52,-111.77839681073098
3363.08,-110.68940371750858
3386.68,-109.21714715997692
3419.72,-108.70873712017203
3444.68,-108.61776642772372
3469.36,-106.93253827042415
3494.96,-106.09669906016444
3534.64,-105.22683698046957
3567.36,-103.31865730863069
