training_step,reward
0.0,
19.64,
23.84,
61.16,
98.96,
184.8,
198.6,
235.32,
296.12,
312.12,
343.28,
373.4,
392.96,
424.68,
449.44,
477.08,
527.76,
580.92,
631.92,
682.64,
730.4,
777.4,
805.84,
819.24,
846.84,
870.84,
901.64,
921.48,
953.04,
975.0,
1010.56,
1043.2,-277.7272484962642
1069.08,-283.0102344994247
1090.76,-282.83492742463943
1103.88,-283.2049305354059
1123.72,-284.304829890579
1134.24,-283.3078279231489
1152.92,-281.13570759996776
1194.28,-278.71351845368747
1228.08,-274.0481728170812
1262.36,-266.8605806051195
1310.92,-261.1466458891332
1362.92,-255.46746149227022
1401.96,-249.26251838788392
1420.72,-243.35698933169246
1447.4,-237.1149447695911
1463.52,-232.96561852142216
1486.92,-225.4655501036346
1510.12,-220.68879688471554
1529.2,-214.3494057878852
1566.84,-212.06086713731287
1592.92,-208.77411441475147
1608.28,-204.3877840045094
1633.12,-202.39877767950293
1659.76,-201.12606791943313
1694.08,-199.45696871906517
1712.6,-198.38954765170814
1751.0,-196.88916933864354
1778.32,-196.22580594867466
1804.52,-192.94340378567574
1845.4,-189.53271120473744
1883.08,-187.74890792325138
1918.52,-186.0830940851569
1936.6,-183.75082985356448
1967.68,-181.217566009853
1990.64,-180.15765857342626
2026.28,-178.90395794983948
2052.96,-177.2191559689119
2079.32,-175.43326318491245
2104.48,-173.96228282678868
2133.6,-172.32114645559335
2160.6,-172.0424226977303
2184.12,-172.27161270517848
2214.0,-171.74928540486837
2242.84,-171.96652258235957
2276.4,-171.08786667186763
2311.88,-170.30123412150886
2336.92,-169.75072011250998
2359.32,-167.62298344630744
2393.84,-166.5843153654411
2424.88,-165.10458892185235
2449.44,-164.7993863889947
2468.24,-164.07332389120006
2500.0,-164.7245531204715
2528.52,-165.2187723325565
2550.08,-164.45413490105415
2569.68,-163.1389977299049
2601.4,-162.3959117190912
2633.04,-161.06013079527762
2656.36,-159.4718969449773
2685.56,-156.95767230201506
2710.84,-155.11783618021752
2731.2,-153.7851032512262
2750.2,-152.85467471290377
2784.2,-152.5179600122943
2815.48,-152.37426369655873
2835.52,-153.67363048547875
2867.52,-153.1480442601442
2900.6,-152.01742548890408
2928.52,-151.25312833383677
2950.4,-150.1824257723987
2986.48,-149.7716773407161
3021.56,-148.47899951934812
3038.56,-147.3086159697175
3063.84,-144.83440912038088
3095.08,-143.02939049676058
3118.88,-141.08306509137154
3148.8,-139.62003041937948
3164.24,-137.03735847853122
3186.8,-134.70542045697567
3211.6,-132.9298914284259
3226.6,-131.89145323880012
3252.76,-132.02425903089343
3270.52,-131.53501790754495
3291.64,-129.5438335848204
3316.32,-126.64618016913067
3337.36,-124.31273012827381
3365.36,-122.87786892782196
3385.64,-122.19464308987605
3412.88,-121.44734806503402
3437.08,-120.20257818605054
3460.12,-118.69213232035983
3488.8,-118.51984935398448
3516.68,-117.66450860972752
3536.12,-116.28802986557832
3554.84,-115.9083366500144
3578.0,-115.17145576345969
3604.44,-114.15220213908006
3619.96,-113.26777149158767
3639.16,-112.1536416925793
3649.84,-110.99545522782256
3667.72,-111.07098060774854
3688.24,-111.03012036892821
3737.32,-109.83428087878276
3755.52,-108.96876329305817
3791.12,-109.09454939100195
3810.6,-110.50690824720311
3862.32,-111.17945672023345
3901.6,-111.75941297772575
3956.12,-112.24761445361423
3993.72,-113.1727029223298
4033.24,-112.90647965143671
4090.88,-113.28291682529499
4130.96,-112.99048347349515
4179.88,-112.09139793086102
4221.16,-111.80655498872747
4274.16,-112.05571348927451
4319.6,-112.40014983642615
4373.16,-112.99883248329166
4415.44,-113.10884811624888
4455.24,-112.54117669656875
4489.64,-111.79574995413425
4534.16,-112.30209323823453
4573.0,-112.65697013810278
4613.16,-112.3285315927863
4657.28,-112.65652625173328
4698.48,-113.73026227444407
4726.0,-113.86786691911516
4750.44,-113.7808075276762
4782.24,-113.34124504454431
4822.56,-112.81836372837421
4845.88,-112.19298073500391
4891.88,-112.99055394932624
4930.36,-112.26956509619947
4960.04,-111.65611955121156
4983.84,-112.0557327800989
5022.12,-113.5336642492376
5062.6,-114.18804917989297
5090.0,-114.03043757786972
5126.04,-113.37061729235572
5153.08,-113.17322155399245
5187.0,-113.56037298319859
5219.0,-114.76173179564994
5260.64,-116.50483663296322
5281.68,-117.27146225189784
5315.2,-117.81869992403307
5335.2,-119.19784181965508
5381.84,-120.42806827677407
5415.64,-121.31311320489266
5447.36,-122.09540436437348
5476.92,-123.34496710455039
5501.76,-123.90304136088113
5541.84,-124.48032532548527
5581.6,-124.98887213727454
5609.2,-125.96253801008683
5642.48,-127.13249075895172
5670.84,-128.39124763598664
5706.48,-129.576140398588
5745.32,-129.27837877621874
5769.12,-129.66202803125603
5793.36,-130.59423212667926
5822.88,-131.3448492582701
5858.52,-132.44406021578234
5883.04,-134.12548212407154
5920.96,-133.82671823529523
5943.52,-134.09637805966656
5977.56,-134.54874705070625
6006.32,-134.17019790435205
6029.4,-133.1595237235352
6068.16,-131.98056577194478
6109.76,-130.81349095489824
6145.88,-130.7625047147646
6177.04,-130.4651708448305
6212.56,-129.55927331227804
6250.2,-128.75781547654412
6274.44,-127.60126130092885
6295.48,-127.15115218028424
6334.16,-126.04863385945556
6367.84,-125.18367549754677
6394.8,-124.3472345946729
6423.96,-124.00538839906453
6449.44,-124.89052106358109
6474.36,-124.30517376333474
6508.76,-123.81921186000106
6542.56,-122.32594897046684
6564.76,-121.39191302374003
6599.84,-119.56770280078051
6630.88,-118.29151098981498
6660.2,-116.40014956489202
6691.68,-115.03205151602623
6729.84,-114.73023879789744
6746.16,-113.42554766231214
6781.32,-111.17707481735384
6831.0,-110.03775378816759
6851.96,-108.85272804790175
6882.08,-106.90473880254663
6922.76,-106.08047151141798
6947.04,-105.35550787889397
6986.12,-104.73067409095353
7032.36,-105.09566739764993
7066.88,-105.07314532821064
7111.12,-104.90068617110138
7145.16,-105.5027784148324
7185.52,-104.74384585683231
7230.44,-105.0221386623848
7266.48,-105.99312106196767
7309.44,-106.54692795035429
7356.56,-106.26557051804846
7392.96,-104.99873345852828
7418.64,-105.21938727275466
7468.2,-105.79400840640997
7508.52,-106.45071452275846
7540.32,-105.84747850463722
7591.12,-104.10555935726498
7629.4,-102.23736100732344
7661.36,-101.05511329374274
7711.2,-100.92635912432334
7755.56,-100.40445047727783
7792.16,-99.6016049843933
7834.4,-99.46960056558247
7877.36,-99.6803512651473
7921.68,-98.90520205602047
7970.52,-98.39527603237886
8008.52,-98.15428545682687
8056.68,-98.05553760289212
8083.16,-96.93110322802325
8114.8,-96.03544540747066
8159.2,-95.84115804894823
8201.16,-95.14370920046228
8232.72,-94.82349766566412
8260.4,-93.65055058403868
8297.8,-92.84879213129166
8325.76,-92.9044661242794
8366.88,-92.64762843291273
8410.28,-91.70464380185116
8437.16,-91.7869441560935
8478.8,-90.8477586309146
8506.04,-89.66725251476278
8539.4,-88.44697883117011
8565.96,-87.70567203330806
8602.52,-87.35101905095391
8640.92,-87.2659438748192
8665.44,-86.28688682447188
8698.84,-84.71779206211679
8728.56,-84.89804951216094
8758.24,-84.94491700108163
8781.92,-85.5019359822292
8811.68,-85.58646920149215
8849.44,-86.31442782592961
8878.72,-87.0934568909649
8920.04,-88.3131899686251
8957.16,-88.43382615610959
8980.04,-89.03274735935034
9016.4,-89.44593959368767
9049.84,-89.11335211247209
9076.52,-89.44199212476613
9100.8,-89.42360579431059
9123.16,-89.78014093324545
9157.88,-89.49832697913052
9179.36,-89.51335319727661
9208.32,-89.57063271537426
9245.8,-89.88175148354844
9262.84,-90.09406719792636
9299.72,-89.27657183339821
9335.48,-88.44141045548022
9366.64,-87.73271787732841
9386.6,-88.10804087989034
9424.92,-88.1282868050784
9477.88,-88.6081971516274
9498.84,-89.664210546501
9521.16,-89.89220985431226
9563.88,-90.88252847034484
9606.2,-91.5136367027834
9626.2,-91.74389581438153
9657.44,-91.70373240228741
9702.92,-92.37127112265676
9745.12,-91.48192049827426
9776.32,-91.29792595501989
9815.12,-91.6125331562385
