training_step,reward
18.5,
15.75,
21.833333333333332,
29.0,
21.076923076923077,
24.3,
31.333333333333332,
40.65384615384615,16.235279304029305
48.07692307692308,16.31220238095238
50.483870967741936,16.46038786482335
63.193548387096776,16.641839477726577
73.19354838709677,16.788344854070665
84.65625,17.02001552714759
95.1875,17.12392177714759
102.84375,17.470833979528543
113.40625,18.206711383374696
128.625,18.59072580645162
142.53125,19.80191532258065
153.125,22.405619959677423
166.90625,25.722656250000004
178.625,30.37109375
185.5,34.91015625
196.0625,40.375
203.84375,46.6953125
214.84375,53.53125
225.6875,59.2734375
235.78125,64.77734375
251.875,70.5546875
262.3125,75.35546875
269.6875,81.1484375
286.40625,86.11328125
299.25,91.046875
314.0,96.19140625
323.875,101.828125
338.34375,104.6015625
346.96875,108.30078125
356.4375,110.796875
371.21875,111.28125
383.875,111.07421875
391.0,109.74609375
404.21875,109.046875
412.90625,109.36328125
424.28125,110.8515625
434.09375,110.9765625
441.84375,111.69921875
452.6875,113.0546875
460.65625,114.16015625
469.25,114.58203125
478.46875,114.2109375
489.125,114.23046875
499.6875,114.83984375
513.5,113.4921875
521.25,113.046875
532.84375,113.109375
539.34375,113.70703125
545.71875,114.91015625
555.53125,117.140625
562.59375,117.91015625
569.625,121.4375
582.03125,124.98828125
591.1875,127.03515625
601.25,128.58984375
612.15625,130.17578125
630.3125,131.890625
647.875,133.25
660.75,136.3671875
680.5625,132.234375
693.375,128.8515625
706.03125,127.4765625
723.25,128.61328125
738.34375,131.41015625
750.46875,133.33203125
772.25,132.82421875
786.3125,129.6640625
801.34375,130.7890625
826.5625,134.87890625
849.46875,138.21875
863.0,139.4140625
882.65625,137.60546875
901.25,136.39453125
914.28125,136.55078125
930.75,137.13671875
950.78125,139.62109375
965.4375,139.58984375
979.15625,139.2734375
998.21875,138.87109375
1015.9375,139.23828125
1029.71875,139.20703125
1047.625,140.4140625
1059.3125,142.44140625
1070.09375,143.6640625
1083.03125,144.44921875
1102.4375,147.03515625
1116.0,150.7265625
1128.9375,154.6015625
1148.8125,158.6640625
1157.09375,161.77734375
1170.78125,162.37890625
1186.0,159.83984375
1201.0,156.69140625
1211.03125,151.38671875
1227.8125,144.42578125
1234.84375,139.0703125
1248.0,134.64453125
1259.375,130.71484375
1272.21875,130.03515625
1282.71875,133.625
1297.1875,138.25390625
1307.65625,142.87109375
1317.8125,149.4609375
1328.25,155.51171875
1342.9375,159.140625
1353.34375,163.10546875
1371.75,166.109375
1381.78125,167.05078125
1395.84375,167.40625
1404.75,168.984375
1418.21875,168.4609375
1435.6875,165.83203125
1450.84375,164.23046875
1459.0,161.734375
1482.34375,159.2109375
1492.34375,157.01171875
1503.0625,155.64453125
1517.65625,154.76171875
1536.5625,154.90625
1552.25,156.609375
1568.34375,159.9375
1582.0,163.31640625
1603.84375,164.86328125
1617.9375,167.4765625
1635.125,169.97265625
1657.875,171.390625
1673.40625,171.796875
1689.53125,173.56640625
1706.21875,170.6875
1725.9375,166.19921875
1745.75,165.328125
1756.03125,163.4765625
1769.25,161.44921875
1792.0625,158.70703125
1810.3125,158.13671875
1823.8125,154.8359375
1835.34375,156.53515625
1846.84375,159.4296875
1867.25,161.47265625
1875.53125,161.53515625
1889.03125,161.1640625
1901.0,161.40625
1917.84375,161.58984375
1926.96875,163.08203125
1947.21875,163.94921875
1957.59375,165.64453125
1973.90625,166.11328125
1988.0,170.90234375
2002.65625,174.20703125
2013.84375,176.41796875
2034.84375,176.875
2043.5,177.28125
2058.4375,175.4140625
2070.84375,172.37890625
2083.75,169.953125
2092.15625,165.15625
2107.21875,162.37890625
2123.53125,163.0234375
2139.46875,161.90234375
2149.53125,160.79296875
2159.0625,161.23828125
2177.5625,164.20703125
2194.28125,167.1953125
2214.125,169.8046875
2230.40625,170.72265625
2244.28125,169.01171875
2261.5625,166.765625
2285.78125,165.16015625
2301.65625,163.94140625
2316.875,160.12109375
2328.5625,156.66015625
2346.5,154.08984375
2358.03125,153.02734375
2368.8125,152.53515625
2382.6875,155.8671875
2393.4375,158.1640625
2404.15625,160.484375
2415.1875,165.9375
2430.53125,168.68359375
2438.125,170.5625
2451.8125,172.76171875
2462.15625,173.67578125
2479.4375,173.0078125
2495.5625,174.3046875
2506.9375,176.20703125
2519.4375,177.0625
2534.25,180.3515625
2546.4375,182.46484375
2559.875,184.53515625
2580.65625,188.5625
2601.59375,191.125
2612.15625,193.58203125
2630.5625,193.984375
2653.90625,194.47265625
2671.75,194.12109375
2683.46875,194.734375
2699.5625,195.08203125
2713.5625,193.69140625
2725.25,194.296875
2743.6875,192.421875
2764.15625,191.65625
2780.40625,191.0234375
2791.71875,189.8046875
2809.875,187.453125
2821.1875,185.578125
2838.96875,185.8984375
2852.875,186.0078125
2872.96875,188.27734375
2883.75,189.82421875
2902.375,192.69921875
2914.875,195.1328125
2928.09375,198.90234375
2949.96875,202.390625
2963.21875,203.95703125
2974.3125,206.7109375
2982.6875,208.09375
3003.34375,209.85546875
3012.25,210.3359375
3029.0,210.66796875
3038.96875,211.09375
3050.78125,212.15234375
3063.9375,213.625
3081.09375,213.34375
3091.25,212.98046875
3105.625,212.94140625
3120.28125,211.55078125
3136.03125,212.0078125
3147.34375,211.859375
3160.5,211.19921875
3179.34375,211.34375
3195.375,211.65234375
3212.03125,211.26171875
3223.71875,212.40625
3239.78125,216.88671875
3257.6875,218.7421875
3270.6875,220.90234375
3289.6875,221.9296875
3303.40625,220.63671875
3322.71875,220.0625
3332.28125,220.37109375
3347.78125,218.98828125
3361.46875,214.4296875
3370.59375,213.3828125
3382.8125,213.52734375
3395.0,215.6171875
3407.875,219.21875
3420.15625,223.765625
3435.09375,227.109375
3449.1875,230.5078125
3459.59375,233.48046875
3475.3125,234.08984375
3487.71875,233.71484375
3500.09375,232.33984375
3511.8125,231.07421875
3527.8125,228.73828125
3537.5625,224.875
3556.25,220.14453125
3570.0,214.1640625
3585.40625,209.26953125
3600.25,204.43359375
3618.21875,199.51953125
3631.46875,194.8984375
3648.28125,190.5078125
3663.0625,188.9609375
3681.46875,189.15625
3697.28125,190.66015625
3714.78125,193.15234375
3723.3125,196.88671875
3743.5625,202.5
3755.375,206.875
3771.6875,212.36328125
3779.5625,217.65625
3796.34375,221.60546875
3810.75,225.5234375
3828.40625,228.42578125
3843.53125,229.5390625
3861.84375,228.59765625
3876.3125,228.7109375
3893.75,227.6640625
3915.5625,228.05859375
3932.96875,227.7109375
3946.3125,227.65234375
3969.8125,227.8828125
3993.1875,228.1015625
4005.78125,228.1875
4013.875,228.91796875
4037.875,228.0234375
4051.84375,226.03125
4063.34375,225.4296875
4071.65625,223.9765625
4084.0625,222.671875
4104.8125,224.375
4115.59375,226.5390625
4127.03125,230.1015625
4146.1875,231.57421875
4157.125,234.51953125
4172.21875,236.421875
4187.75,240.17578125
4200.40625,242.71484375
4214.125,242.20703125
4232.625,241.28125
4246.375,237.01171875
4256.65625,236.1953125
4272.53125,233.6015625
4286.21875,233.40625
4302.0625,231.9609375
