training_step,reward
9.0,
31.615384615384617,
46.94117647058823,
77.29166666666667,
125.41666666666667,
162.92,
223.36,
275.2,
307.92,
341.56,
408.12,
449.32,
502.44,
552.52,
576.12,
607.8,
639.48,
677.04,
704.12,
762.04,
795.56,
814.16,
833.2,
874.04,
909.92,
937.28,
954.04,
966.24,
978.44,
991.2,
1010.32,
1035.92,-211.73750001783628
1066.12,-210.32723933722036
1080.0,-206.90144294041926
1097.04,-201.80680513963108
1115.68,-199.18764597862963
1129.72,-195.67064875334506
1146.32,-191.45774617820985
1186.2,-184.35833135515458
1215.24,-177.90961449891333
1244.64,-172.88863916002217
1273.88,-168.15868251755836
1300.2,-161.56736030481758
1327.76,-157.67562614522876
1377.84,-154.82735032998028
1402.8,-151.67451928272845
1430.68,-148.42948415902447
1447.92,-146.42341780004097
1482.12,-143.8691621780489
1524.08,-142.15270006273877
1544.76,-140.8710527480487
1569.32,-138.25739351076078
1593.8,-137.08277682141403
1671.96,-136.2099658434559
1722.76,-134.6743763607089
1763.8,-133.50787153598856
1791.76,-132.35957467761824
1834.28,-131.53523839917966
1873.4,-130.3672074114997
1897.88,-129.47155499157498
1939.52,-128.36677054096947
1966.92,-127.26427272272298
1994.88,-125.4614572150726
2031.16,-123.56576920333319
2059.6,-122.5929660233762
2112.52,-122.14634812979958
2146.44,-121.84791666545902
2166.64,-120.67520608264019
2180.76,-118.97371905927542
2204.4,-116.6098589394148
2223.76,-114.60337934478181
2239.04,-112.68741674705404
2265.24,-111.59462698004205
2309.28,-111.418013797095
2376.76,-111.43508989549238
2405.96,-109.48358081988054
2434.8,-107.86927195242602
2462.12,-106.34325420378704
2504.52,-104.72059534521769
2526.28,-102.41914197849104
2546.2,-100.52420830082141
2564.0,-99.1063034262321
2584.4,-97.45447530062862
2604.68,-95.72933340383688
2644.8,-93.62504614496598
2666.08,-91.03012277131894
2678.2,-88.55636107223103
2691.64,-87.5342544886283
2709.28,-86.29016652194778
2737.4,-84.59000658201049
2755.04,-84.15214228665451
2779.56,-83.3909407612122
2818.36,-84.0826452270336
2853.84,-84.52378641972312
2887.68,-85.1031041795946
2915.88,-85.49033959049724
2942.0,-85.251992701739
2971.8,-84.62414015337818
3035.28,-83.61771525515236
3077.12,-82.98850558977568
3144.76,-81.72456138605246
3166.08,-81.23075593225651
3198.6,-81.17949302919203
3285.52,-80.91892476461823
3309.16,-79.66444786705071
3341.64,-77.63614921174937
3367.44,-76.54385218732052
3385.04,-75.58614261366421
3401.92,-75.06603650428349
3448.72,-74.37463090348983
3460.48,-73.27977727308863
3498.08,-72.9430313137918
3517.64,-71.60807966189452
3535.4,-70.43618148665868
3571.2,-69.34524587396524
3601.72,-68.68275637764475
3632.8,-67.9173647214844
3671.32,-67.01800003644071
3697.56,-66.12528042320153
3724.32,-65.09324132781467
3783.88,-64.42394022177895
3833.28,-63.932357058115215
3861.52,-63.62245174705973
3916.36,-64.15166382919989
3946.32,-63.23681198727331
4001.44,-62.016922258101324
4047.72,-60.61413448703235
4079.44,-59.48613357571413
4107.6,-58.27812556689132
4158.84,-57.07244802688706
4193.64,-55.692742053097966
4220.8,-54.28402265747535
4263.08,-54.49660362472284
4308.28,-54.89100956161964
4347.48,-54.58174086717415
4415.12,-55.19443810624527
4452.28,-55.586096483445644
4482.36,-55.532946359342816
4547.76,-55.65786166337776
4638.88,-56.12242133585262
4681.52,-55.69463465777683
4721.4,-55.552682918677945
4757.6,-54.898295892043876
4828.68,-54.0608769896579
4863.28,-54.09783463386343
4917.96,-53.62815743784877
4957.8,-53.318091978072104
5013.12,-52.946785271703185
5056.0,-52.884139662771396
5086.48,-52.871325214966106
5130.68,-52.54401124590534
5179.36,-51.619798864438124
5210.92,-50.69224899174173
5255.24,-49.90117040428792
5298.28,-48.48497943046961
5327.04,-45.8901680223969
5371.12,-44.06524957600507
5413.16,-43.18427516851101
5462.24,-42.62294623593559
5515.52,-42.08609328338869
5546.0,-41.476919349599555
5587.12,-40.66712440537282
5637.56,-40.573763954657984
5666.56,-39.639965724516586
5716.72,-38.56474214376874
5762.92,-36.76449377210803
5799.68,-35.33649660469957
5829.16,-33.3699098630435
5853.92,-31.634356111138985
5883.48,-30.69289647236459
5933.68,-28.718103028088734
5986.28,-27.040123976916
6022.36,-26.00504161432378
6061.68,-24.706090011144916
6089.36,-23.878946557184612
6126.56,-22.823412107611006
6186.16,-21.41015272694633
6222.6,-19.837165915192966
6255.64,-18.416304555600437
6291.16,-16.965765781318694
6318.92,-15.659315336560757
6367.0,-14.778151753758937
6400.0,-14.154870693599731
6431.8,-14.3651327096577
6459.88,-14.216007413333209
6488.6,-13.608157295817437
6515.92,-13.395643487507403
6545.6,-13.357310097673833
6574.6,-12.70046854474574
6598.16,-11.684610018068849
6630.24,-10.66783125967711
6665.32,-9.980666091972886
6688.88,-9.517873050430712
6727.72,-9.516277661332783
6760.96,-8.304637528220114
6804.32,-7.749984551975427
6848.6,-5.992425772854981
6887.64,-5.214913802901205
6938.72,-5.028916958877739
6976.08,-3.7467814491781564
7000.12,-2.5681280722002655
7024.68,-1.31351699757382
7049.6,-0.6576751600484522
7093.0,-0.5111232291440636
7137.4,-0.212000244436708
7177.32,0.4626180047030406
7216.8,0.17959529243417394
7265.68,-0.003187016621154344
7297.6,-0.137352543845695
7332.4,-1.0051818450539527
7364.24,-1.8796530217676577
7408.44,-2.5617712370305474
7455.2,-3.1528351099043306
7504.72,-3.4499217946081573
7531.16,-4.003981450125497
7570.84,-3.5690976620837267
7601.2,-2.9212250339984114
7631.72,-2.5335919211804083
7665.04,-1.7908219510316066
7684.64,-1.6409065414219313
7732.16,-2.0440234563498905
7774.92,-2.7765328567474294
7805.52,-2.8349423539637733
7869.2,-3.657360300198119
7906.0,-4.346123530939144
7936.6,-4.771082151755613
7962.0,-6.38655019618563
8004.2,-7.564440460279506
8037.36,-8.258091302588504
8080.04,-8.418647119626327
8130.64,-8.284141202196402
8170.72,-8.494474405422729
8193.84,-8.729319108053964
8227.12,-8.877435076609176
8269.8,-9.114294062778276
8313.52,-8.265816286256225
8337.04,-7.400174367602371
8397.04,-7.881469051093949
8442.48,-8.572381429499869
8485.84,-8.78336201961028
8508.44,-9.136146250592931
8578.28,-9.104835930220938
8637.12,-8.156193502424205
8669.08,-7.788055154926763
8703.6,-7.223292083514311
8731.88,-6.584233935075966
8756.28,-5.7968389484762834
8771.2,-5.680961707691817
8829.68,-5.3369230454891605
8878.32,-4.849845381203263
8901.88,-5.003542536321252
8917.76,-4.944162148061364
8942.56,-3.9744557323038263
8969.64,-3.3018521059035946
8987.76,-3.2005908296733785
9023.04,-2.331816708269684
9058.04,-0.8116470521419928
9090.36,0.4774169279903487
9113.88,2.3303674405336694
9141.24,4.678276771110328
9160.96,5.2822666567087495
9188.04,5.330973533940346
9212.84,5.214052415293486
9250.12,4.29599830056432
9299.04,3.4307681796968295
