training_step,reward
2.75,
24.40625,
32.78125,
51.28125,
85.03125,
89.84375,
94.75,
98.28125,14.22265625
103.28125,14.84375
118.28125,14.60546875
124.40625,14.4375
137.0,14.0546875
154.25,14.1875
163.0625,14.54296875
167.0625,15.09765625
170.5,15.5390625
179.28125,16.21875
195.25,17.35546875
212.875,18.8671875
230.15625,20.90625
244.0,22.65625
249.03125,24.51953125
259.4375,25.77734375
273.9375,27.73828125
290.15625,29.07421875
303.6875,29.875
319.71875,31.546875
333.0,32.5390625
347.0,33.69140625
357.1875,35.8203125
369.0,38.79296875
383.59375,41.33984375
392.65625,44.09375
409.5,46.64453125
418.625,47.35546875
429.90625,48.91796875
437.09375,50.35546875
444.78125,50.734375
455.15625,51.125
466.53125,52.33203125
480.09375,55.37109375
489.53125,58.58984375
498.5625,62.44140625
508.4375,66.18359375
525.6875,69.01953125
538.71875,71.1171875
553.65625,72.6796875
566.4375,73.65234375
585.53125,73.00390625
601.625,71.97265625
616.59375,71.9375
627.65625,71.74609375
637.375,71.296875
652.40625,72.4375
661.59375,74.10546875
688.75,75.58203125
702.3125,77.37109375
716.5625,80.69921875
726.21875,84.63671875
736.25,86.8984375
743.59375,90.75
753.1875,93.6875
766.9375,95.921875
773.125,98.3125
784.875,98.3984375
791.09375,97.7890625
797.40625,95.765625
807.71875,96.1015625
823.34375,97.6171875
839.1875,100.546875
864.21875,101.75390625
879.6875,102.484375
898.46875,106.45703125
911.125,110.20703125
924.125,114.3984375
942.5,117.3828125
952.5625,117.98046875
976.71875,117.12890625
1000.0,119.00390625
1014.46875,122.2578125
1031.0,123.0703125
1044.5625,123.6171875
1063.15625,122.45703125
1074.03125,122.546875
1085.03125,124.484375
1095.34375,125.81640625
1104.84375,125.90625
1117.0,124.859375
1128.59375,124.95703125
1137.6875,125.51171875
1153.875,126.58203125
1158.8125,126.6953125
1181.4375,124.3671875
1192.5,123.5
1205.875,123.4375
1225.65625,121.140625
1239.21875,119.671875
1253.96875,118.2265625
1264.6875,117.984375
1278.25,118.37890625
1291.375,118.3671875
1301.96875,115.82421875
1312.53125,114.50390625
1324.5,115.0859375
1334.78125,114.64453125
1352.125,115.41015625
1360.78125,116.04296875
1371.9375,115.38671875
1381.28125,116.671875
1389.5,119.34765625
1396.34375,119.796875
1405.90625,120.51171875
1411.84375,120.87890625
1419.375,119.8125
1425.15625,118.53515625
1431.09375,117.65625
1436.0,116.359375
1444.875,114.4921875
1450.9375,113.03125
1464.03125,112.42578125
1477.90625,111.6875
1490.15625,110.44921875
1502.21875,109.54296875
1514.75,108.83984375
1523.96875,107.8125
1540.46875,109.70703125
1552.53125,113.01953125
1561.75,115.64453125
1570.90625,118.88671875
1576.0625,122.41015625
1581.65625,125.9140625
1586.46875,130.09375
1591.375,134.3828125
1597.96875,136.36328125
1605.5625,137.19921875
1615.15625,138.1484375
1623.1875,138.5703125
1632.5,139.125
1641.15625,139.515625
1649.3125,138.25
1655.0,136.62890625
1661.9375,136.1015625
1666.25,135.48828125
1673.65625,134.484375
1678.46875,136.578125
1685.53125,138.46875
1691.4375,140.1484375
1701.28125,143.72265625
1710.125,148.86328125
1720.03125,152.76171875
1727.75,156.6328125
1736.625,159.20703125
1744.84375,158.51953125
1753.125,157.84765625
1760.6875,155.9296875
1766.1875,153.5703125
1772.59375,150.359375
1783.1875,147.8046875
1793.5625,145.4375
1801.1875,144.1875
1809.3125,143.21875
1817.34375,143.67578125
1826.96875,145.0703125
1834.96875,145.51953125
1841.59375,144.05859375
1847.59375,142.7109375
1855.59375,140.7265625
1861.625,138.80078125
1871.3125,137.14453125
1879.4375,134.83984375
1884.8125,133.63671875
1891.4375,132.2890625
1897.0625,132.5390625
1903.03125,132.65625
1910.84375,133.5703125
1918.71875,134.52734375
1925.03125,134.92578125
1930.84375,134.9765625
1936.4375,134.37109375
1942.53125,136.64453125
1949.3125,140.48828125
1956.25,144.171875
1962.09375,148.16796875
1968.78125,152.6953125
1976.15625,156.171875
1982.5625,158.67578125
1991.78125,162.734375
1998.71875,163.88671875
2005.25,162.34375
2014.28125,161.171875
2023.25,159.91015625
2035.375,158.21875
2041.8125,157.73828125
2051.875,158.22265625
2065.96875,157.75
2073.875,157.4140625
2085.78125,158.05859375
2105.71875,158.27734375
2113.25,158.046875
2124.59375,156.3828125
2134.5625,154.8828125
2148.875,152.90234375
2157.1875,151.5703125
2165.8125,150.67578125
2176.46875,150.37890625
2186.1875,149.9140625
2195.03125,151.73046875
2203.90625,154.03125
2210.34375,156.94921875
2217.0,160.1875
2225.5625,160.29296875
2234.6875,160.87890625
2242.3125,161.9140625
2251.625,162.8046875
2256.875,161.47265625
2265.40625,161.40625
2276.3125,160.546875
2283.84375,160.19140625
2294.1875,161.8125
2303.34375,162.9375
2313.34375,162.7734375
2324.1875,162.98046875
2331.71875,162.83984375
2342.375,162.08984375
2352.625,162.0390625
2361.375,161.1953125
2371.96875,159.16015625
2380.75,157.96484375
2387.53125,159.0
2393.8125,159.6875
2399.84375,161.109375
2405.46875,163.29296875
2412.75,165.625
2418.28125,167.6015625
2425.0,170.3125
2430.5625,172.41796875
2438.46875,172.9453125
2446.53125,173.28125
2452.0625,173.2421875
2460.65625,171.2890625
2469.0,168.92578125
2476.0625,166.375
2487.1875,163.109375
2494.90625,159.953125
2506.03125,157.01171875
2515.875,155.58984375
2526.0625,153.68359375
2534.96875,153.28515625
2544.625,154.6484375
2556.8125,156.296875
2565.09375,159.54296875
2576.6875,164.79296875
2587.65625,169.765625
2597.4375,172.19140625
2607.0,174.8828125
2615.875,177.21484375
2624.4375,177.62109375
2633.65625,178.09765625
2644.46875,177.59375
2655.90625,175.0859375
2664.96875,172.75
2673.78125,171.67578125
2682.15625,170.7109375
2691.3125,171.59765625
2700.875,173.0625
2709.53125,174.765625
2718.34375,176.30859375
2725.59375,179.71484375
2733.21875,182.1640625
2747.96875,182.58203125
2757.53125,183.0234375
2766.5,182.14453125
2781.21875,181.41015625
2790.875,180.97265625
2804.78125,181.140625
2820.0,179.2421875
2829.9375,176.3515625
2844.1875,176.03515625
2856.09375,176.0546875
2868.3125,176.20703125
2887.125,176.62109375
2900.375,176.7578125
2913.5625,177.0546875
2926.125,177.33203125
2939.875,180.34765625
2951.65625,182.578125
2961.59375,184.3984375
2974.3125,185.9140625
2986.5625,185.359375
3002.625,184.546875
3014.625,183.71875
3024.34375,183.90234375
3033.5,183.37890625
3041.3125,182.82421875
3050.5625,180.31640625
3061.40625,178.87890625
3075.0625,179.03125
3083.75,179.73828125
3091.40625,180.94140625
3100.28125,180.828125
3110.5,180.4609375
3119.875,180.20703125
3126.21875,182.28515625
3133.375,183.2890625
3143.28125,184.69140625
3152.6875,185.48046875
3164.09375,184.734375
3172.84375,184.390625
3180.46875,184.0859375
3189.21875,183.875
3198.125,183.921875
3208.0625,183.62109375
3218.03125,183.27734375
3224.1875,183.734375
3232.5,184.39453125
3241.78125,186.16796875
3251.03125,186.9140625
3263.5625,188.55859375
3275.40625,191.53125
3282.875,194.86328125
3295.9375,198.87109375
3306.21875,200.65234375
3315.25,204.87890625
3332.46875,207.359375
3344.375,210.63671875
3355.21875,214.44921875
3371.34375,218.68359375
3379.59375,222.953125
3389.46875,225.234375
3404.3125,229.94140625
3411.875,233.1015625
3424.28125,234.87109375
3441.5,236.7265625
3450.5,237.4140625
3460.6875,233.94140625
3468.8125,230.44921875
3479.3125,226.7890625
3489.6875,222.98046875
3500.59375,218.67578125
3508.3125,216.62890625
3520.6875,215.80078125
3532.1875,215.24609375
3539.625,216.04296875
3550.75,216.99609375
3564.0,218.83984375
3574.34375,220.578125
3582.03125,222.66796875
3594.21875,224.98046875
3606.6875,226.21875
3618.46875,229.171875
3627.34375,232.9765625
3636.09375,236.15234375
3647.6875,239.19921875
3661.65625,243.1953125
3673.03125,246.9296875
3679.71875,249.91796875
3690.8125,252.5234375
3699.84375,253.6796875
3709.125,255.00390625
3719.78125,258.29296875
3728.34375,260.45703125
3738.3125,262.54296875
3749.1875,264.78515625
3760.9375,267.60546875
3770.8125,269.25
