training_step,reward
1.4,
16.92,
23.4,
61.0,
98.8,
183.8,
195.88,
229.56,
293.04,
307.48,
337.32,
366.52,
389.28,
416.04,
438.44,
467.4,
514.4,
570.08,
621.56,
667.4,
720.04,
765.32,
793.76,
807.04,
831.32,
859.96,
889.8,
909.16,
938.52,
964.2,
998.0,
1033.28,-220.76391110765167
1059.04,-224.92360680481943
1075.32,-223.31657445213352
1092.0,-221.57010976335556
1111.4,-219.74086886460486
1120.84,-217.45782576380822
1139.36,-213.00771622388214
1174.4,-209.34588185672237
1209.0,-205.0571825313993
1256.24,-202.3300854665466
1304.8,-198.63721742962082
1343.44,-195.8300222151034
1386.68,-192.87155456588198
1408.2,-188.93649210088483
1432.44,-184.60044234507313
1448.56,-180.95907454960573
1471.88,-176.07842947952975
1498.68,-171.72482474797
1518.68,-168.50682327680812
1549.8,-166.70329792611824
1578.84,-165.54690142147768
1594.32,-164.78385691638627
1622.52,-162.28802648602576
1648.72,-161.44812786282563
1674.8,-160.07293516818956
1696.72,-158.67815646652653
1735.64,-157.09326851372197
1764.72,-156.84335357074218
1794.24,-156.55051042926087
1832.84,-156.3419687226094
1870.0,-155.96496317569688
1900.16,-155.09867062010218
1922.76,-153.17047154199503
1954.76,-151.23958672240374
1979.32,-149.56735563151537
2009.28,-148.4229375039786
2039.04,-148.54011223766952
2064.28,-148.8841738803685
2089.8,-150.20241623556245
2118.04,-150.8094413558208
2143.72,-151.01879955640067
2170.52,-149.94401435634126
2201.28,-148.290405152645
2228.0,-147.6690976179578
2259.28,-146.0910469978117
2293.32,-146.0649282626622
2319.92,-144.24462444467474
2346.32,-142.4539851601236
2381.6,-140.37391407681633
2409.88,-139.4962641306036
2433.04,-138.20011541767053
2454.44,-137.17224578065807
2482.8,-136.22075044384235
2508.6,-135.65323446596983
2530.6,-135.4793282184006
2555.6,-135.76841353741486
2590.96,-135.37156070524838
2618.12,-136.44152499670176
2637.0,-137.3502618745902
2665.32,-137.46596749389556
2691.68,-137.41602020362404
2713.6,-136.96221542375173
2736.12,-137.4983666172066
2768.44,-137.78746182309476
2795.04,-137.29388738879948
2815.56,-136.79046398313727
2850.44,-136.47418595725685
2885.8,-136.81689967168506
2911.08,-135.9518445398101
2934.44,-135.3631915825793
2972.72,-134.06216895025233
3003.16,-133.01814913284045
3020.76,-132.16625761549932
3051.52,-131.51832633387312
3083.2,-131.10269095670446
3109.84,-130.26890482407077
3129.36,-130.55962557613864
3148.6,-129.88092867136018
3173.0,-129.37300631606502
3200.84,-129.2290890200717
3218.08,-129.25689383786653
3239.24,-128.65790549045445
3259.28,-128.74850628918054
3280.24,-128.5421885544622
3304.56,-127.79994496939722
3329.2,-127.44632055362703
3356.68,-127.92212667239846
3379.32,-128.2279767043704
3400.04,-128.81732733121157
3425.24,-127.2994952410275
3450.36,-126.13742714842797
3476.0,-126.24551040088772
3504.56,-126.60414130439997
3520.48,-126.40272148942591
3539.92,-124.47000396279634
3567.24,-123.33741825526596
3590.64,-122.41844795269905
3604.92,-121.40371600552479
3620.4,-120.44672864659705
3633.88,-119.05527283812889
3665.36,-117.1465196026025
3688.44,-115.75421646899557
3718.8,-115.22497915900327
3734.2,-115.10636481410839
3767.64,-115.44718080184438
3803.0,-116.2670282068012
3865.6,-116.44095150939205
3892.88,-115.16416712424731
3931.36,-112.49764748915113
3975.72,-110.18117288491703
4017.36,-108.74033108466784
4076.88,-106.7611765950547
4121.28,-105.31039402036475
4167.56,-105.26261555534799
4203.32,-105.34617188167768
4251.64,-103.94616409999327
4299.68,-102.62097908956008
4346.68,-101.68826862883762
4393.0,-100.75619645875886
4431.92,-99.31832584750845
4466.76,-98.06164817576304
4514.12,-97.24434437219992
4560.48,-96.08891423326925
4601.88,-93.87122866828933
4634.68,-92.0997298141849
4668.28,-90.52864883654757
4697.6,-89.82117653950124
4725.48,-89.5863833431062
4755.64,-90.28392870663671
4814.56,-91.23398564932874
4840.96,-90.56211545376112
4873.2,-89.87524952290585
4910.04,-90.73830212591221
4933.52,-90.53335432318976
4963.72,-90.34066268367698
4998.6,-90.4411380992644
5037.48,-89.48013979805638
5066.56,-88.92961126578977
5101.28,-89.42446698082617
5123.96,-91.20352430535486
5165.92,-92.2263150890731
5194.6,-93.2761189053767
5229.16,-93.27881933139643
5253.68,-93.44109486976643
5293.28,-93.7988200688549
5324.2,-93.40499183798215
5361.92,-92.41197980443022
5399.56,-91.66883906984707
5421.08,-91.82532207319518
5447.04,-91.23630065375943
5488.04,-89.79438970947642
5521.96,-88.70205797927457
5552.52,-87.3818787281402
5588.36,-87.13287459472198
5616.56,-86.84984746092935
5648.32,-87.69390747444709
5675.76,-87.45232753526425
5710.76,-87.0861506239884
5741.6,-86.28135733768349
5765.36,-85.06971195146446
5798.12,-83.46437404587869
5835.92,-81.9459397398681
5860.72,-81.62298848032955
5901.88,-82.5397445572168
5922.12,-82.70809394605462
5945.52,-82.87188564576213
5994.2,-82.59364925734702
